Asikkala,17200,Vääksy,"2h,kk,vh,kph,te...",kt,"53,00",55000,1038,1974,1/4,ei,tyyd.,"oma							F2013
",F2013
Asikkala,17200,Vääksy,"2h,k,kh",kt,"58,00",33000,569,1969,3/3,ei,tyyd.,"oma							D2007
",D2007
Asikkala,17200,Vääksy,"2h,k,vh,wc",kt,"58,00",69000,1190,1976,5/5,on,hyvä,"oma							C2007
",C2007
Asikkala,17200,Anianpelto,"2h,k,kph/s,terassi",rt,"56,00",82000,1464,1989, ,ei,hyvä,"oma							B2007
",B2007
Asikkala,17200,Vääksy,"2h,k,kph/s,p",kt,"56,00",67600,1207,1985,2/3,ei,hyvä,"oma							D2013
",D2013
Asikkala,17200,Vääksy,"2h,k,vh,s",rt,"58,00",88000,1517,1986,1/1,ei,tyyd.,"oma							E2013
",E2013
Asikkala,17200,Vääksy,"2h, k, s, kph, vh",rt,"63,00",160000,2540,2007,1/1,ei,hyvä,"oma							D2013
",D2013
Asikkala,17200,Vääksy,"2h,k,kph,vh,ter,at",rt,"60,00",84000,1400,1975,1/1,ei,hyvä,"oma							G2013
",G2013
Asikkala,17200,Vääksy,"2h,kk,ph/s,p",kt,"48,00",74000,1542,1989,2/4,on,hyvä,"oma							F2013
",F2013
Asikkala,17200,Anianpelto,"2h,k,kph/s,terassi",rt,"56,00",60000,1071,1989,1/1,ei,tyyd.,"oma							B2007
",B2007
Asikkala,17200,,"2h,k,wc,khh,psh,s",ok,"79,00",145000,1835,2007, ,ei,hyvä,"oma							
",
Asikkala,17200,,"2h,tupak,kph,s,...",ok,"62,00",83000,1339,1997, ,ei,hyvä,"oma							
",
Asikkala,17200,Anianpelto,3h+k+s,rt,"87,50",66000,754,1972,1/1,ei,hyvä,"oma							F2013
",F2013
Asikkala,17200,Vääksy,"3h,k,kph,s,wc,t...",rt,"84,00",115000,1369,1985,1/2,ei,hyvä,"oma							A2007
",A2007
Asikkala,17200,Vääksy,"3h,k,kph,vh,p",kt,"76,00",66000,868,1977,2/3,on,hyvä,"oma							F2013
",F2013
Asikkala,17200,Vääksy,"3h,k,kph,vh,p",kt,"69,00",54000,783,1976,3/5,on,tyyd.,"oma							C2013
",C2013
Asikkala,17200,Vääksy,"3h,k,s",rt,"80,00",157000,1963,2007,1/1,ei,hyvä,"oma							D2007
",D2007
Asikkala,17200,Vääksy,"3h,k,kph,s,wc,p...",kt,"73,00",213000,2918,2009,5/5,on,hyvä,"oma							D2007
",D2007
Asikkala,17200,Vääksy,"3h,k,kph,s,las....",rt,"80,00",135000,1688,1991,1/1,ei,hyvä,"oma							F2013
",F2013
Asikkala,17200,Vääksy,"3h,k,kh,s,wc,vh...",rt,"78,00",100000,1282,1985, ,ei,tyyd.,"oma							E2013
",E2013
Asikkala,17200,,"3h, takka/mh, k...",ok,"115,00",194000,1687,2002,-1/1,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"4h, k, rt, khh,...",ok,"151,00",216000,1430,2003,-1/1,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"4h,k , s, 2kph/wc",rt,"115,00",130000,1130,1974,1/2,ei,hyvä,"oma							A2007
",A2007
Asikkala,17200,Vääksy,"4h,k,s,th",rt,"103,00",138000,1340,1989,1/2,ei,hyvä,"oma							E2018
",E2018
Asikkala,17200,Vääksy,"4h, tkh, k,apuk...",ok,"175,00",229000,1309,1986,-1/1,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"4h, k, s, erill...",rt,"100,00",127000,1270,1980,2/2,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"5h,k,kph,s,at,t...",ok,"138,00",145000,1051,1966,1/2,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"4h,k,s,kph,wc",ok,"79,00",163000,2063,1987, ,ei,hyvä,"oma							
",
Asikkala,17200,Vääksy,"4h,k,ph,s,vh,wc",rt,"98,00",130000,1327,1985,1/1,ei,hyvä,"oma							B2007
",B2007
Asikkala,17200,Vääksy,"4 h, k, tkh, kh...",ok,"112,00",134000,1196,1989,1/2,ei,tyyd.,"oma							
",
Asikkala,17200,Vääksy,"4h, k, s, kph, ...",ok,"103,00",129000,1252,1987,-1/1,ei,tyyd.,"oma							
",
Asikkala,17200,Vääksy,"4h,k , s, 2kph/wc",rt,"115,00",110000,957,1974,1/2,ei,hyvä,"oma							A2007
",A2007
Asikkala,17200,Vääksy,"4h,k/ruok,wc,kh...",ok,"125,50",245000,1952,2015,1/1,ei,hyvä,"oma							B
",B
Asikkala,17200,,"4h,k,khh,kph,s,...",ok,"127,00",174000,1370,1984, ,ei,hyvä,"oma							
",
Asikkala,17200,,"4h,k,th,kph,s,2...",ok,"118,00",233500,1979,2007, ,ei,hyvä,"oma							
",
Asikkala,17200,,"4-5h,k,kph,s,kh...",ok,"133,00",283000,2128,2014,1/2,ei,hyvä,"oma							
",
Asikkala,17200,,"Oh/k, 3 mh, ph/...",ok,"109,00",205000,1881,2007,-1/1,ei,hyvä,"vuokra							
",
