
"


 
1




















", ,1,"
















"
 ,1,"
t















"
Yksiö
Toijala / keskusta,1 hh+kk+s,kt,"39,00",80900,2074,2007,2/4,on,hyvä,"oma							D2018
",D2018
Kylmäkoski,"1h,k",rt,"34,00",24000,706,1976,1/1,ei,tyyd.,"oma							C2013
",C2013
Toijala / rautala,1h+kk+kph/wc+vh,kt,"36,00",15487,430,1973,3/3,ei,huono,"vuokra							F2013
",F2013
Toijala / nahkiala,1h+kk+kph/wc,kt,"27,00",33000,1222,1968,2/2,ei,tyyd.,"oma							F2013
",F2013
Toijala / rauhanummi,1h+k+kph/wc+vh+...,kt,"33,00",38000,1152,1969,5/6,on,hyvä,"oma							F2013
",F2013
Kylmäkoski / kirkonkylä,1h+kk+alkovi+s,rt,"39,00",29500,756,1990,1/1,ei,hyvä,"oma							
",
Toijala / keskusta,"1h,k,s,lasit.p.",kt,"38,00",60000,1579,1990,2/5,on,hyvä,"oma							C2007
",C2007
Toijala / keskusta,"1h,kk",kt,"32,00",25000,781,1962,3/3,ei, ,"oma							F2013
",F2013
Toijala / rauhanummi,1h+k+kph/wc+vh+...,kt,"33,00",28000,848,1969,6/6,on,huono,"oma							F2013
",F2013
,"1h,k,wc",ok,"35,00",32000,914,1924, ,ei,tyyd.,"oma							
",
"
Kaksi huonetta
"
Toijala / nahkiala,2h+k,kt,"56,00",61000,1089,1976,2/3,ei, ,"oma							D2013
",D2013
Viiala / keskusta,"2h, k, kph/wc, ...",kt,"55,00",50000,909,1972,2/2,ei,hyvä,"oma							G2013
",G2013
Toijala / rautala,"2h,k",kt,"58,00",64900,1119,1993,2/4,ei, ,"oma							E2007
",E2007
Toijala,"2h,kk,p",kt,"46,00",52000,1130,1964,2/3,ei,tyyd.,"oma							E2007
",E2007
Toijala / keskusta,2h+kk+s,kt,"40,00",68000,1700,1989,3/4,on,tyyd.,"oma							F2013
",F2013
Toijala / keskusta,2 h+k+s+p,kt,"52,00",74000,1423,1990,3/5,on,hyvä,"oma							C2007
",C2007
Toijala / nahkiala,2h+kk+kph/wc+vh...,kt,"45,00",43000,956,1970,2/3,ei,huono,"oma							F2013
",F2013
Toijala / nahkiala,2h+k+s,rt,"44,00",60000,1364,1990,1/1,ei,hyvä,"oma							F2013
",F2013
Kylmäkoski / kirkonkylä,2h+k+kph+vh,rt,"54,00",27000,500,1974,1/1,ei,hyvä,"vuokra							E2013
",E2013
Toijala / rauhanummi,2h+k+kph/wc+las...,kt,"54,00",54000,1000,1965,5/6,on,hyvä,"oma							F2013
",F2013
Toijala / keskusta,2h+kk+kph/wc,kt,"40,00",34000,850,1958,1/2,ei,huono,"oma							F2013
",F2013
Toijala / keskusta,2h+kk+s,kt,"44,00",85000,1932,1999,4/5,on,hyvä,"oma							D2013
",D2013
Toijala / rauhanummi,2h+k+lasit.parveke,kt,"55,00",62000,1127,1967,2/6,on,hyvä,"oma							F2013
",F2013
Toijala / keskusta,2h+k+s+lasit.p,kt,"49,00",75000,1531,1986,3/4,on,hyvä,"oma							F2013
",F2013
,2h+k+wc+ph+s,ok,"60,00",45000,750,1962, ,ei,tyyd.,"oma							
",
Kolme huonetta
Toijala / nahkiala,"3h,k,s",rt,"80,00",66000,825,1972,1/1,ei,tyyd.,"oma							A2007
",A2007
Toijala / nahkiala,"3h, k, kph/wc, ...",kt,"73,00",73000,1000,1976,3/3,ei,hyvä,"oma							D2007
",D2007
Toijala / pappila,"3h,k,kph,s,2xwc...",rt,"82,00",153000,1866,2008,1/1,ei,hyvä,"oma							E2018
",E2018
Toijala,"3h, k, s",rt,"80,00",90000,1125,1972,1/1,ei,tyyd.,"oma							A
",A
Toijala / rautala,"3h, k, kph/wc, p ",kt,"76,00",50000,658,1972,2/3,ei,hyvä,"oma							F2013
",F2013
Toijala,"3h, k",kt,"89,00",70000,787,1953,1/4,ei,hyvä,"oma							F2013
",F2013
Toijala,3h+k+s+p,kt,"69,00",98000,1420,1987,2/3,ei,hyvä,"oma							E2013
",E2013
Toijala / keskusta,3h+k+s,kt,"78,00",165000,2115,1999,5/5,on,hyvä,"oma							D2013
",D2013
Toijala / rautala,3h+k+kph/wc+vh+p,kt,"69,00",50000,725,1972,2/3,on,tyyd.,"oma							E2013
",E2013
Toijala,"3h, k, s",rt,"85,00",102000,1200,1990,1/1,ei,hyvä,"oma							D
",D
Toijala / keskusta,3h+k+kph/wc+las...,kt,"77,00",81000,1052,1978,1/5,on,hyvä,"oma							E2018
",E2018
Viiala / haihunkoski,"3h, k, kph, vh, p",kt,"76,00",52000,684,1973,1/3,ei,tyyd.,"oma							C2007
",C2007
Viiala / tillihaka,3h+k+wc+kph+s+v...,rt,"96,00",50000,521,1981,1/1,ei,tyyd.,"oma							D2013
",D2013
Toijala / luhtaniitty,3h+k+wc+vh+kph+s,rt,"77,00",115000,1494,1987,1/1,ei,hyvä,"oma							E2013
",E2013
Viiala / keskusta,"3h,k,s",kt,"70,00",55000,786,1977,1/5,on, ,"oma							C2007
",C2007
Toijala,"3h,k,kh",kt,"70,00",41000,586,1962,2/3,ei, ,"oma							E2007
",E2007
,"3h,k,s,autotall...",ok,"94,00",97500,1037,1984, ,ei,tyyd.,"oma							
",
,"3-4h, k, sauna-os",ok,"87,00",130000,1494,1970, ,ei,hyvä,"oma							E2018
",E2018
,3h+avokeitti...,ok,"160,00",170000,1063,2011,1/2,ei,hyvä,"oma							
",
,"3h, k, kph",ok,"100,00",48000,480,1917,-1/1,ei,tyyd.,"oma							
",
,3h+k+wc+kph+s+e...,ok,"80,00",55000,688,1953, ,ei,tyyd.,"oma							
",
,"3-4 h, k, s",ok,"97,00",154000,1588,1997,1/1,ei,hyvä,"oma							
",
Neljä huonetta tai enemmän
Toijala,"4h, k, s",ok,"160,00",133000,831,1952,-1/2,ei,hyvä,"oma							
",
Viiala,"oh, 2mh, k, kph...",ok,"110,00",154000,1400,1992,-1/1,ei,hyvä,"oma							E2018
",E2018
Toijala,"5h, k, s",ok,"146,00",180000,1233,1986,-1/1,ei,hyvä,"oma							
",
Toijala / nahkiala,4h+k+kph/wc+wc+...,kt,"99,00",73000,737,1970,3/3,ei,huono,"oma							F2013
",F2013
Toijala,"5h, k, s",ok,"129,00",198000,1535,2012,-1/1,ei,hyvä,"oma							
",
"


 
1




















", ,1,"
















"
 ,1,"
















"
